i,perc,n,acc,cor,alpha
10,0.6684210526315789,3972,0.545774647887324,0.37914928925250874,0.3689199907888341
10,0.7157894736842105,4363,0.5387323943661971,0.3697331270666937,0.3549321266968325
10,0.7631578947368421,4626,0.5492957746478874,0.3712209998073822,0.36063557150179404
10,0.8105263157894737,4819,0.5669014084507042,0.41885599593501033,0.41017956656346755
10,0.8578947368421053,5166,0.5704225352112676,0.40417298348246533,0.3936210367388022
10,0.9052631578947369,5431,0.5845070422535211,0.4216460801817178,0.4141832847860184
10,0.9526315789473684,5733,0.5633802816901409,0.41006265877054776,0.40083288000150075
10,1.0,6038,0.5774647887323944,0.43426310583325556,0.4249780893952674
11,0.1,596,0.4225352112676056,0.10768141778588532,0.08939148371887429
11,0.1473684210526316,862,0.40492957746478875,0.11193596720451962,0.09438186573670448
11,0.19473684210526315,1172,0.4753521126760563,0.24193053999638245,0.2256637168141593
11,0.24210526315789474,1450,0.4859154929577465,0.24368782253771734,0.2302679807770629
11,0.2894736842105263,1771,0.4859154929577465,0.21897650953601364,0.2053977939450834
11,0.33684210526315794,2092,0.49295774647887325,0.242013631443663,0.22865496680225517
11,0.38421052631578945,2260,0.5352112676056338,0.3780074438861443,0.36575550298292536
11,0.43157894736842106,2594,0.528169014084507,0.35806269819097475,0.33796258138959856
11,0.4789473684210527,2833,0.5352112676056338,0.3578330538554739,0.34915695227406074
11,0.5263157894736842,3175,0.5492957746478874,0.34021259539103826,0.3273436480971932
11,0.5736842105263158,3448,0.5352112676056338,0.3314307467261878,0.31695595854922287
11,0.6210526315789474,3750,0.5105633802816901,0.2522622011382438,0.24153687221869036
11,0.6684210526315789,4003,0.528169014084507,0.4091183332154977,0.3932281800235299
11,0.7157894736842105,4302,0.545774647887324,0.3484342188830451,0.3375308321433207
11,0.7631578947368421,4613,0.5633802816901409,0.36538584856991224,0.3549974546071609
11,0.8105263157894737,4902,0.5598591549295775,0.4007917646028403,0.3902917288667359
11,0.8578947368421053,5201,0.5669014084507042,0.4183692829454879,0.4065052207174611
11,0.9052631578947369,5443,0.5669014084507042,0.4126753343682199,0.40252134650632576
11,0.9526315789473684,5767,0.5633802816901409,0.4166007584683464,0.4074712933118453
11,1.0,6038,0.5774647887323944,0.43426310583325556,0.4249780893952674
12,0.1,625,0.45774647887323944,0.1333141294205364,0.1204331941544885
12,0.1473684210526316,879,0.4612676056338028,0.14980495202896357,0.13783650654273671
12,0.19473684210526315,1226,0.5070422535211268,0.2907794708172535,0.2723100596010025
12,0.24210526315789474,1487,0.528169014084507,0.31384530900862095,0.2879746835443039
12,0.2894736842105263,1781,0.5070422535211268,0.3445358793534767,0.3339916356877324
12,0.33684210526315794,2030,0.5,0.28262118803479397,0.2732860767440035
12,0.38421052631578945,2324,0.5352112676056338,0.32757108697851434,0.3140391439939778
12,0.43157894736842106,2643,0.5176056338028169,0.3384927749300392,0.327522871082105
12,0.4789473684210527,2908,0.5070422535211268,0.2790187803783446,0.2679075864329018
12,0.5263157894736842,3172,0.5176056338028169,0.3206579500633389,0.31292474515290825
12,0.5736842105263158,3483,0.545774647887324,0.3384794419801744,0.3320305925912074
12,0.6210526315789474,3817,0.5598591549295775,0.38933357577236494,0.38073472686064935
12,0.6684210526315789,4014,0.5352112676056338,0.3436700233200822,0.33438323914117285
12,0.7157894736842105,4349,0.5492957746478874,0.3408105425993172,0.33017006361157986
12,0.7631578947368421,4563,0.5352112676056338,0.384065683514382,0.37141727229703014
12,0.8105263157894737,4855,0.5774647887323944,0.4574137724496197,0.44597433948768384
12,0.8578947368421053,5112,0.5563380281690141,0.35258934623649113,0.34493904633236316
12,0.9052631578947369,5488,0.5950704225352113,0.4481122719582438,0.44004147840900676
12,0.9526315789473684,5729,0.5563380281690141,0.3935934514977911,0.3847871093262827
12,1.0,6038,0.5774647887323944,0.43426310583325556,0.4249780893952674
13,0.1,600,0.41901408450704225,0.12890071943619788,0.11432956071360068
13,0.1473684210526316,905,0.4507042253521127,0.19734349571239596,0.18759936406995226
13,0.19473684210526315,1182,0.4788732394366197,0.28660290380860537,0.26677716890409886
13,0.24210526315789474,1455,0.4788732394366197,0.19057361438365483,0.183393006164697
13,0.2894736842105263,1696,0.5316901408450704,0.4004448962170002,0.3836915423549103
13,0.33684210526315794,2119,0.5352112676056338,0.3720355495271087,0.3560883280757098
13,0.38421052631578945,2286,0.4859154929577465,0.2816269867163981,0.26412171206860235
13,0.43157894736842106,2632,0.49295774647887325,0.28564168629277614,0.27089584226318053
13,0.4789473684210527,2874,0.5211267605633803,0.3636062612866945,0.3503536913420344
13,0.5263157894736842,3135,0.5633802816901409,0.352973204053805,0.33831914056508783
13,0.5736842105263158,3452,0.5105633802816901,0.2997283308936135,0.2893306403953684
13,0.6210526315789474,3735,0.545774647887324,0.34898708230780146,0.33894544178116537
13,0.6684210526315789,4036,0.5387323943661971,0.3716159610253712,0.35591450802718405
13,0.7157894736842105,4297,0.5492957746478874,0.3528809706516737,0.34361642580907803
